Restaurant Name,Location,Review,Cuisine,Longitude,Latitude
National Restaurant Cevabdzinica Tima Irma,"Onescukova BB, Mostar 88000 Bosnia and Herzegovina",5.0 ,Eastern European,17.8121762,43.3371511
Restoran Lagero,"Tabhana b.b., Mostar 88000 Bosnia and Herzegovina",4.5 ,"Eastern European, Mediterranean, European, Healthy, Central European, Grill",17.814146,43.3375633
Food House Mostar,"Rade Bitange 12, Mostar 88104 Bosnia and Herzegovina",4.5 ,NONE,17.8136339,43.3375099
Restoran Hindin Han,"Jusovina bb, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Mediterranean, Barbecue, European, Eastern European, Central European",17.8137424,43.3368596
Konoba Taurus,"Kriva Cuprija 4 next to Crooked bridge, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Mediterranean, Barbecue, European, Eastern European, Croatian, Central European",17.8134282,43.3367525
Sadrvan,"Jusovina 11 STARI GRAD MOSTAR, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options, Gluten Free Options",17.8139846,43.3371117
Urban taste of orient,"Mala Tepa 22, Mostar 88000 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.8149563,43.3385649
Pablo's Restaurant & Club,"Kneza Branimira 11, Mostar 88000 Bosnia and Herzegovina",5.0 ,NONE,17.8005016,43.34045
Megi,"Kralja Tomislava 29, Mostar Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.8007839,43.3501688
Emen,"Onescukova 32, Mostar 88000 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.8128162,43.3370522
Restoran Podrum,"Oneskucova 28, Mostar 88000 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.8077578,43.34377480000001
Restoran Harmonija,"Rade Bitange 18, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Vegan Options, Vegetarian Friendly",17.8119948,43.3387108
Restoran Divan,"Jusovina B.B., Mostar 88000 Bosnia and Herzegovina",4.0 ,"International, European, Eastern European",17.8137424,43.3368596
Craft Beer Garden #imaimoze,"Gojka Vukovica 4 1. Zimske prostorije, 2. Ljetna bašta iznad Radobolje na drugoj strani ulice, Mostar 88000 Bosnia and Herzegovina",5.0 ,"Bar, Pub, Brew Pub, Healthy, Gastropub",17.8128246,43.3374542
caffe bar Nide Veze,"Husnije Repca 3, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Bar, Central European",17.8104901,43.3383997
Del Rio,"Kardinala Stepinca 12, Mostar 88000 Bosnia and Herzegovina",4.0 ,Vegetarian Friendly,17.8100051,43.3486467
Restaurant Mediterana Delicata,"Kresina bb. Bb, Mostar 88000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.81241,43.3423912
Restaurant Pod Lipom,"Rodochkih branitelja 44, Mostar 88000 Bosnia and Herzegovina",5.0 ,"Seafood, Barbecue",17.8185656,43.3181981
Karting Klub,"Vukarska bb, Mostar Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.8077578,43.34377480000001
Restoran Europa,"Kurluk 4, Mostar 88000 Bosnia and Herzegovina",4.0 ,"Lunch, Dinner, Brunch",17.8077578,43.34377480000001
Teco,"Stjepana Radica, Mostar Bosnia and Herzegovina",5.0 ,"Cafe, Healthy, European, Gastropub",17.8002821,43.3464566
Restaurant Schumann,"Fra Didaka Buntica 117, Mostar 88000 Bosnia and Herzegovina",5.0 ,Vegetarian Friendly,17.7998443,43.3374898
Caffe Pizzeria Porto,"Brkica 1a 200 M From Old Bridge, Mostar 88104 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.8150151,43.3372849
Restaurant Taurus,"Onescukova, Mostar Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",17.8121762,43.3371511
Restoran Prestige,"Kardinala Stepinca B.B Mepas Mall, Mostar 88000 Bosnia and Herzegovina",4.0 ,"Breakfast, Lunch, Dinner, Brunch",17.8047832,43.3481534
Stari Grad Cafe,"Onescukova 2, Mostar Bosnia and Herzegovina",4.0 ,"Seating, Table Service, Outdoor Seating, Serves Alcohol",17.8145212,43.3372153
Restaurant Kulluk,"Kurluk Br. 1, Mostar 88000 Bosnia and Herzegovina",4.0 ,"Mediterranean, European, Eastern European",17.8077578,43.34377480000001
Grill Centar,"Brace Fejica 13, Mostar Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",17.8124602,43.3429906
Restoran Babilon,"Tabhana bb, Mostar Bosnia and Herzegovina",3.5 ,Vegetarian Friendly,17.814146,43.3375633
Blok bar & restaurant,"Kneza Visheslava b.b. SPC Orca, Mostar 88000 Bosnia and Herzegovina",5.0 ,"Mexican, American, International, Mediterranean",17.8046364,43.3498656
Mala Stanica,"Kralja Petra I Karadjordjevica Bb, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Mediterranean, European, Eastern European, Central European",17.1904534,44.771638
Kazamat,"Tvrdjava Kastel Teodora Kolokotronisa bb, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Vegetarian Friendly, Vegan Options, Gluten Free Options",17.190667,44.7665926
Vrbas,"Brace Potkonjaka 1, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,17.1899468,44.7649774
Obelix,"Pete Kozarske Brigade 19, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",17.1769149,44.7563972
Restaurant & Lounge Bar Integra,"Trg Republike Srpske 8, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Dinner, Breakfast, Lunch, Brunch",17.1987614,44.7781882
Stara Ada,"Veljka Mladjenovica Ada, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,Vegan Options,17.2223457,44.7720002
Restoran Aj'Zdravo,"Vidovdanska 6, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options, Gluten Free Options",17.1913055,44.7744504
Lovacki Bar,"Slatinska 37 Trapisti, Banja Luka Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",17.2252367,44.807193
Rijeka - Bar & Restaurant,"Bogdana Marica 14, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Vegetarian Friendly, Vegan Options",17.1714319,44.7519733
Picerija Kod Brke,"Ulica Srpska 36, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,Vegetarian Friendly,17.1955912,44.7700808
Restaurant Monogram,"Svetozara Markovica 5j, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Dinner, Breakfast, Lunch, Brunch, Drinks",17.1914123,44.7775595
Trezor,"Ivana Franje Jukica 7, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"International, Cafe, European, Central European",17.1917582,44.7704634
Pite pod sacem,"Patrijarha Makarija Sokolovica 1, Banja Luka 78000 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner, Brunch",17.1875579,44.7671091
Rostiljnica a&D,"Grcka 32, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",17.1882228,44.7742419
Slasticarna Manja,"Kralja Petra I Karadordevica 62, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Takeout, Seating, Table Service",17.186905,44.76784360000001
Kod Muje,"Bana Milosavljevi A BB, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Lunch, Dinner",17.2040237,44.7643189
Chiquita Cocina Mexicana,"Braće Mažar i majke Marije 4, Hanište, Banja Luka 78000 Bosnia and Herzegovina",5.0 ,"Lunch, Dinner",17.1842651,44.7685906
Rotkvica,"Brace Pantica 6, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Breakfast, Brunch, Lunch, Dinner, Late Night, Drinks",17.1864857,44.7712655
Sladoled kod Slavice,"I Krajiskog Korpusa, Banja Luka 78000 Bosnia and Herzegovina",5.0 ,"Takeout, Seating",17.2040237,44.7643189
Marcello,"Bana Milosavljevića 30, Banja Luka Bosnia and Herzegovina",4.0 ,Vegetarian Friendly,17.1936865,44.7733781
Mala Skadarlija,"Stepe Stepanovica 7, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Barbecue, European, Eastern European",17.192261,44.7623708
Impero Romano,"Ilije Garasanina Bb, Banja Luka 78000 Bosnia and Herzegovina",4.5 ,"Breakfast, Lunch, Dinner, Drinks",17.2165351,44.7971846
Alas,"Brace Mazar i majke Marije 48, Banja Luka Bosnia and Herzegovina",4.0 ,"Seafood, European",17.1818386,44.7697449
Banjalucki Splav,"Ulica Patre bb, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Lunch, Dinner, Late Night",17.1870777,44.7662769
"Grill & caffe ""Pod lipom""","Kralja Petra I Karadjordjevica 10 Centar, Banja Luka 78000 Bosnia and Herzegovina",5.0 ,Grill,17.1853651,44.7655835
Gotiva Knedle,"Nikole Pašića 29, Banja Luka 78000 Bosnia and Herzegovina",5.0 ,"Breakfast, Lunch, Dinner",17.1970532,44.7713322
Marco Polo,"Bulevar Stepe Stepanovica 185A, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Breakfast, Lunch, Dinner, Drinks",17.2081203,44.7665481
Agape,"Trg Krajine 2, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Central European, Italian, Mediterranean, European, Eastern European",17.1896325,44.7699973
Citadela,"Ulica Kralja Alfonsa Xiii Br. 2, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,Dinner,17.1910876,44.7711069
Don Sergio,"Bulevar Srpske Vojske 8 Delta Planet, Banja Luka 78000 Bosnia and Herzegovina",4.0 ,"Breakfast, Lunch, Dinner, Brunch, Late Night, Drinks",17.2069406,44.7799895
Limenka,"Patriotske lige br. 24, Tuzla 75000 Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",18.6781567,44.5390813
Mama Mia Restaurant Tuzla,"Univerzitetska 16, Tuzla 75000 Bosnia and Herzegovina",4.5 ,Vegetarian Friendly,18.6649306,44.5385806
MamaMia Origins Steak & Wine Restaurant,"Trg Slobode Bb, Tuzla 75000 Bosnia and Herzegovina",4.5 ,"Steakhouse, Mediterranean, Barbecue, European, Central European",18.6747998,44.5391866
Pivnica Taverna,"Marshala Tita 163, Tuzla 75000 Bosnia and Herzegovina",4.0 ,"Lunch, Dinner",18.6897106,44.5352816
Restoran Carsijska Cesma,"Trg Zrtava Gen. U Srebrenici 2, Tuzla 75000 Bosnia and Herzegovina",4.5 ,"Dinner, Brunch, Lunch",19.2997218,44.1039762
Sarajka,"Dzemala Bijedica 2, Tuzla 75000 Bosnia and Herzegovina",4.5 ,"Eastern European, Fast Food, Barbecue, European",18.6912073,44.5344564
Makedonka,"Armije BiH 180, Tuzla 75000 Bosnia and Herzegovina",4.5 ,"Lunch, Dinner, Brunch",18.6932184,44.55251579999999
Zlatnik,"Šetalište Slana Banja b.b., Tuzla Bosnia and Herzegovina",4.0 ,"Lunch, Dinner",18.6848035,44.5388038
Biblioteka,"Kristijana Krekovica 7, Tuzla Bosnia and Herzegovina",4.5 ,"Lunch, Dinner",18.6707349,44.5410068
Jazz Caffe Tuzla,"VI Bosanske brigade 39, Tuzla 75000 Bosnia and Herzegovina",5.0 ,"Lunch, Dinner",18.6710364,44.54103980000001
Tenis,"Tenis klub Sloboda, Tuzla Bosnia and Herzegovina",4.0 ,"Lunch, Dinner, Late Night",18.6734688,44.53746109999999
La Cremeria Veneziana,"Trg Slobode Bb, Tuzla 75000 Bosnia and Herzegovina",4.5 ,NONE,18.6747998,44.5391866
Darkwood,"Zlatarska 5, Tuzla 75000 Bosnia and Herzegovina",5.0 ,"Italian, European, Middle Eastern, Pizza, Healthy",18.6762617,44.5387115
Palačinkara kod Bagija,"Patriotske lige 10 Tuzla, Tuzla 75000 Bosnia and Herzegovina",5.0 ,NONE,18.6775344,44.5383535
Citta del Sale,"Korzo, Tuzla Bosnia and Herzegovina",4.0 ,"Breakfast, Lunch, Dinner",18.6770568,44.5377924
Caffetteria Intermezzo,"Dorda mihajlovica 4, Tuzla Bosnia and Herzegovina",5.0 ,NONE,18.6734688,44.53746109999999
Old Story Pub,"Turalibegova 34, Tuzla 75000 Bosnia and Herzegovina",5.0 ,"Italian, French, Southwestern, European, Central European",18.6787933,44.5363254
